                MSCBC01%3A1000,BC3 1    eniq_oss_1 MSCBC01 1   2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         12       38    (NULL)      (NULL)          62            62          97           92 
                MSCBC01%3A1000,BC3 2    eniq_oss_1 MSCBC01 2   2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         81       54    (NULL)      (NULL)           5            16          73           12 
                MSCBC01%3A1000,BC3 3    eniq_oss_1 MSCBC01 3   2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         92       71    (NULL)      (NULL)          54            92          76           79 
                MSCBC01%3A1000,BC3 4    eniq_oss_1 MSCBC01 4   2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         87       38    (NULL)      (NULL)          85            21          23           45 
                MSCBC01%3A1000,BC3 5    eniq_oss_1 MSCBC01 5   2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         18       45    (NULL)      (NULL)          38            20          36           67 
                MSCBC01%3A1000,BC3 6    eniq_oss_1 MSCBC01 6   2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         36       38    (NULL)      (NULL)          87            84          50           19 
                MSCBC01%3A1000,BC3 7    eniq_oss_1 MSCBC01 7   2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         68       50    (NULL)      (NULL)          15            93          28           84 
                MSCBC01%3A1000,BC3 8    eniq_oss_1 MSCBC01 8   2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         95       11    (NULL)      (NULL)          92            84          95           30 
                MSCBC01%3A1000,BC3 9    eniq_oss_1 MSCBC01 9   2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         97       58    (NULL)      (NULL)          72            83          33           87 
                MSCBC01%3A1000,BC3 10   eniq_oss_1 MSCBC01 10  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         43       62    (NULL)      (NULL)          93            81          17           17 
                MSCBC01%3A1000,BC3 11   eniq_oss_1 MSCBC01 11  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         55       74    (NULL)      (NULL)          67            49          44           64 
                MSCBC01%3A1000,BC3 12   eniq_oss_1 MSCBC01 12  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         88       45    (NULL)      (NULL)          19            99          70           94 
                MSCBC01%3A1000,BC3 13   eniq_oss_1 MSCBC01 13  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         64       41    (NULL)      (NULL)          39            13          33           59 
                MSCBC01%3A1000,BC3 14   eniq_oss_1 MSCBC01 14  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         80       44    (NULL)      (NULL)          20            82          62           89 
                MSCBC01%3A1000,BC3 15   eniq_oss_1 MSCBC01 15  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         45       26    (NULL)      (NULL)          87            85          79           60 
                MSCBC01%3A1000,BC3 16   eniq_oss_1 MSCBC01 16  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)          7       59    (NULL)      (NULL)          67            10          34           76 
                MSCBC01%3A1000,BC3 17   eniq_oss_1 MSCBC01 17  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)          4       36    (NULL)      (NULL)          59            45          92           81 
                MSCBC01%3A1000,BC3 18   eniq_oss_1 MSCBC01 18  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         47       83    (NULL)      (NULL)          84             7           2           85 
