                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC3  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC7  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC11 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC15 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC19 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC23 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC27 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC31 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC35 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
CLUSTER         MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000      2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC1  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC5  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC9  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
