                eniq_oss_1 MIE001  MIE001%3A13         MIE001  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1107       15              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      56     76       3     34 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC4  MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      18     54      61     92 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC8  MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      13     66      23     35 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC12 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      36     80      87     42 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC16 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      23     77      69     30 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC20 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      92      2      22     50 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC24 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      66     27      66     51 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC28 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      59     47      40     40 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC32 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      79     33      11     65 
CLUSTER         eniq_oss_1 MSCBC01 MSCBC01%3A1000      MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       9     43       0     21 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC0  MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      85     38       1     10 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC1  MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      65      9      83     35 
