                MIE001  eniq_oss_1 MIE001  MIE001%3A3          2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1107       18              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     269  73      49      83      43       8     210      12      55    214      12     278       1      57  52      46      64      1    1854      94      4      72      85      32     299    1325     254     261     298      54 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC2  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     169  16      64      95      83      44     155      90      65    133      25     120      41      95  61      71      17     93    1720       6     27      32      41      98     253    1535     291     200     276      52 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC6  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     280  35      63      95      86      86     271      36      69    255      75     273      50      27  92      17      30      6    1940      77     41      63      30      18     145    1436     194     191     297      58 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC10 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     225  14      48      93      79      64     137      59      74    182      10     265       3      59  62      58      83     75    1954      39      6      72       8      19     266    1306     268     149     297      29 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC14 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     175  55      94      37      63      65     212      40      87    157      10     192      87      82  35      52      13     35    1772      80     86      87      65      66     265    1516     253     173     126      33 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC18 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     263  90      64      56      83      90     185      72      32    171      25     110      85      36  99      27      14     89    1843      29     30      56      17      87     193    1419     124     121     140      24 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC22 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     256  76      34      70      79      61     113      85      96    267      53     287      43      38  27      38      46      5    1743      12     27      35      45      51     182    1415     167     224     185      57 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC26 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     220  41      18      96      37      14     222      51      94    116      30     200      42      22  88      16      71      3    1753      67     57      16      79      80     183    1424     248     108     279      30 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC30 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     253  94      46      17      21      74     240      40      44    103      79     145      64      94  15      31      27     57    1796      34     81      63      44      30     216    1585     259     297     128      18 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC34 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     116  20      25      76      40      18     277      36      88    201      57     212      17      45  83      20      80     83    1701      96     42      52      88      93     104    1587     231     289     172      18 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
CLUSTER         MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000      2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     241  84      81      71      74      54     240       2      84    271      91     241      33      82   4      29      30     20    1908      51     54      63      58      24     129    1558     101     221     167      60 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC1  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     270  15      81      68      19      26     289       4       5    161       6     273      20      59  99      58      33     35    1896      61     30      76      46      92     288    1338     147     138     243      84 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
