        MAA01   MAA01   MAA01%3A1006        MAA01   eniq_oss_1 MAA01   CLUSTER         2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1106       16              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       47       62       41         8  28       59        84        60        39  71       62        87 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC0  MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       21       77       85        18  55       20        43        52        18  42       18        57 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC1  MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       48       81       90        60  61       71        34        94        33  88       44        14 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC4  MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       48       72        5        26  88       48        50        94         2  58       46        78 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC8  MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       15       83       37        70  77       64        51        46        33  36       65        98 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC12 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       54       80        7        52  18       26        74        21        75  15       77         9 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC16 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0        6       67       39        81  42       94        47        35        58  33       59        98 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC20 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       85       96       27        30  15       22         8        72        57  79       68        45 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC24 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0        9       55       67        11  53       62        76        39         7  55       47        63 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC28 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       82       60       84        51  66        9        78        31        16  69       90        79 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC32 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       88       86       11        60  80       66        40        24        72  41       64        95 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC3  MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0        0       75       15        76  95        4        28        19        31  39       72        68 
