eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE01   SubNetwork=SubNetwork,NetworkElement=vECE01                 vECE01   ESA         Ericsson ACTIVE   2024-04-08 08:00:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC01    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC01                DSC01    CBA         Ericsson ACTIVE   2024-04-08 08:00:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_RootMo,Site=MSMTAS01      MSMTAS01                     1.29       MTAS    ONRM_RootMo              MTAS01   SubNetwork=ONRM_RootMo,SubNetwork=TSP,ManagedElement=MTAS01 MTAS01               Ericsson ACTIVE   2024-04-10 00:00:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 MeContext      SubNetwork=SubNetwork,Site=MSSAPC01       MSSAPC01                     1.15       SAPC    SubNetwork               SAPC01   SubNetwork=SubNetwork,MeContext=SAPC01                      SAPC01               Ericsson DEACTIVE 2024-04-23 22:45:23.0 2024-04-25 08:00:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOTMO,Site=MSCSCFv01     MSCSCFv01                    1.25       CSCF    ONRM_ROOTMO              CSCFv01  SubNetwork=ONRM_ROOTMO,ManagedElement=CSCFv01               CSCFv01              Ericsson DEACTIVE 2024-04-23 22:45:23.0 2024-05-09 08:45:23.0 ENIQ     
eniq_oss_3 ManagedElement                                                                        2.21       SBG     IS                       vSBG02   SubNetwork=IS,MeContext=vSBG02,ManagedElement=vSBG02        vSBG02               Ericsson ACTIVE   2024-04-23 22:45:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 ManagedElement                                                                        1.25       vCSCF   ONRM_RootMo              HSS-FE01 SubNetwork=ONRM_RootMo,ManagedElement=HSS-FE01              HSS-FE01             Ericsson ACTIVE   2024-04-23 22:45:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 MeContext      SubNetwork=SubNetwork,Site=MSSAPC05       MSSAPC05                     1.15       SAPC    SubNetwork               SAPC05   SubNetwork=SubNetwork,MeContext=SAPC05                      SAPC05               Ericsson DEACTIVE 2024-04-23 22:45:23.0 2024-04-25 08:00:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOTMO,Site=MSCSCFv05     MSCSCFv05                    1.25       CSCF    ONRM_ROOTMO              CSCFv05  SubNetwork=ONRM_ROOTMO,ManagedElement=CSCFv05               CSCFv05              Ericsson DEACTIVE 2024-04-23 22:45:23.0 2024-05-09 08:45:23.0 ENIQ     
eniq_oss_3 ManagedElement                                                                        2.21       SBG     IS                       vSBG01   SubNetwork=IS,MeContext=vSBG01,ManagedElement=vSBG01        vSBG01               Ericsson ACTIVE   2024-04-23 22:45:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_RootMo,Site=MSHSS-FE04    MSHSS-FE04                   1.37       HSS-FE  ONRM_RootMo              HSS-FE04 SubNetwork=ONRM_RootMo,ManagedElement=HSS-FE04              HSS-FE04             Ericsson DEACTIVE 2024-04-23 22:45:23.0 2024-05-09 08:45:23.0 ENIQ     
eniq_oss_3 MeContext      SubNetwork=SubNetwork,Site=MSSAPC03       MSSAPC03                     1.15       SAPC    SubNetwork               SAPC03   SubNetwork=SubNetwork,MeContext=SAPC03                      SAPC03               Ericsson DEACTIVE 2024-04-23 22:45:23.0 2024-04-25 08:00:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOTMO,Site=MSCSCFv02     MSCSCFv02                    1.25       CSCF    ONRM_ROOTMO              CSCFv02  SubNetwork=ONRM_ROOTMO,ManagedElement=CSCFv02               CSCFv02              Ericsson DEACTIVE 2024-04-23 22:45:23.0 2024-05-09 08:45:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOTMO,Site=MSCSCFv04     MSCSCFv04                    1.25       CSCF    ONRM_ROOTMO              CSCFv04  SubNetwork=ONRM_ROOTMO,ManagedElement=CSCFv04               CSCFv04              Ericsson DEACTIVE 2024-04-23 22:45:23.0 2024-05-09 08:45:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_RootMo,Site=MSHSS-FE02    MSHSS-FE02                   1.37       HSS-FE  ONRM_RootMo              HSS-FE02 SubNetwork=ONRM_RootMo,ManagedElement=HSS-FE02              HSS-FE02             Ericsson DEACTIVE 2024-04-23 22:45:23.0 2024-05-09 08:45:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_RootMo,Site=MSHSS-FE03    MSHSS-FE03                   1.37       HSS-FE  ONRM_RootMo              HSS-FE03 SubNetwork=ONRM_RootMo,ManagedElement=HSS-FE03              HSS-FE03             Ericsson DEACTIVE 2024-04-23 22:45:23.0 2024-05-09 08:45:23.0 ENIQ     
eniq_oss_3 MeContext      SubNetwork=SubNetwork,Site=MSSAPC02       MSSAPC02                     1.15       SAPC    SubNetwork               SAPC02   SubNetwork=SubNetwork,MeContext=SAPC02                      SAPC02               Ericsson DEACTIVE 2024-04-23 22:45:23.0 2024-04-25 08:00:23.0 ENIQ     
eniq_oss_3 MeContext      SubNetwork=SubNetwork,Site=MSSAPC04       MSSAPC04                     1.15       SAPC    SubNetwork               SAPC04   SubNetwork=SubNetwork,MeContext=SAPC04                      SAPC04               Ericsson DEACTIVE 2024-04-23 22:45:23.0 2024-04-25 08:00:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOTMO,Site=MSCSCFv03     MSCSCFv03                    1.25       CSCF    ONRM_ROOTMO              CSCFv03  SubNetwork=ONRM_ROOTMO,ManagedElement=CSCFv03               CSCFv03              Ericsson DEACTIVE 2024-04-23 22:45:23.0 2024-05-09 08:45:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_RootMo,Site=MSHSS-FE05    MSHSS-FE05                   1.37       HSS-FE  ONRM_RootMo              HSS-FE05 SubNetwork=ONRM_RootMo,ManagedElement=HSS-FE05              HSS-FE05             Ericsson DEACTIVE 2024-04-23 22:45:23.0 2024-05-09 08:45:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC05    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC05                DSC05    CBA         Ericsson ACTIVE   2024-04-29 03:15:23.0 2024-05-31 13:45:30.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC06    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC06                DSC06    CBA         Ericsson DEACTIVE 2024-04-29 03:15:23.0 2024-05-27 05:00:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC03    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC03                DSC03    CBA         Ericsson ACTIVE   2024-04-29 03:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC09    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC09                DSC09    CBA         Ericsson DEACTIVE 2024-04-29 03:15:23.0 2024-05-27 05:00:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC08    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC08                DSC08    CBA         Ericsson DEACTIVE 2024-04-29 03:15:23.0 2024-05-27 05:00:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC07    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC07                DSC07    CBA         Ericsson DEACTIVE 2024-04-29 03:15:23.0 2024-05-27 05:00:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC10    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC10                DSC10    CBA         Ericsson DEACTIVE 2024-04-29 03:15:23.0 2024-05-27 05:00:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC02    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC02                DSC02    CBA         Ericsson ACTIVE   2024-04-29 03:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC04    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC04                DSC04    CBA         Ericsson ACTIVE   2024-04-29 03:15:23.0 2024-05-31 13:45:30.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC36    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC36                DSC36    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC51    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC51                DSC51    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC31    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC31                DSC31    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
