eniq_oss_1                         20.Q1       SubNetwork=SubNetwork,NetworkElement=LTE75VTIF00001                   
eniq_oss_1 ERBSG201    ERBSG201    23.Q4       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG201    
eniq_oss_1 ERBSG202    ERBSG202    23.Q4       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG202    
eniq_oss_1 vPP01       vPP01       23.Q4       SubNetwork=ONRM_RootMo,ManagedElement=vPP01                           
eniq_oss_2 ERBSG201    ERBSG201    23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG201    
eniq_oss_2 ERBSG202    ERBSG202    23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG202    
eniq_oss_2 ERBSG203    ERBSG203    23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG203    
eniq_oss_2 ERBSG204    ERBSG204    23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG204    
eniq_oss_2 ERBSG205    ERBSG205    23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG205    
eniq_oss_3 ERBSG201    ERBSG201    23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG201    
eniq_oss_3 ERBSG202    ERBSG202    23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG202    
eniq_oss_3 ERBSG203    ERBSG203    23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG203    
eniq_oss_3 ERBSG204    ERBSG204    23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG204    
eniq_oss_3 ERBSG205    ERBSG205    23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG205    
eniq_oss_3 ERBSG206    ERBSG206    23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG206    
eniq_oss_3 ERBSG207    ERBSG207    23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG207    
eniq_oss_3 ERBSG208    ERBSG208    23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG208    
eniq_oss_3 ERBSG209    ERBSG209    23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG209    
eniq_oss_3 ERBSG210    ERBSG210    23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG210    
eniq_oss_3 ERBSG2100   ERBSG2100   23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG2100   
eniq_oss_3 ERBSG21000  ERBSG21000  23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG21000  
eniq_oss_3 ERBSG210000 ERBSG210000 23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG210000 
eniq_oss_3 ERBSG21001  ERBSG21001  23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG21001  
eniq_oss_3 ERBSG21002  ERBSG21002  23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG21002  
eniq_oss_3 ERBSG21003  ERBSG21003  23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG21003  
eniq_oss_3 ERBSG21004  ERBSG21004  23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG21004  
eniq_oss_3 ERBSG21005  ERBSG21005  23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG21005  
eniq_oss_3 ERBSG21006  ERBSG21006  23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG21006  
eniq_oss_3 ERBSG21007  ERBSG21007  23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG21007  
eniq_oss_3 ERBSG21008  ERBSG21008  23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG21008  
eniq_oss_3 ERBSG21009  ERBSG21009  23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG21009  
eniq_oss_3 ERBSG2101   ERBSG2101   23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG2101   
eniq_oss_3 ERBSG21010  ERBSG21010  23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG21010  
eniq_oss_3 ERBSG21011  ERBSG21011  23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG21011  
eniq_oss_3 ERBSG21012  ERBSG21012  23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG21012  
eniq_oss_3 ERBSG21013  ERBSG21013  23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG21013  
eniq_oss_3 ERBSG21014  ERBSG21014  23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG21014  
eniq_oss_3 ERBSG21015  ERBSG21015  23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG21015  
eniq_oss_3 ERBSG21016  ERBSG21016  23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG21016  
eniq_oss_3 ERBSG21017  ERBSG21017  23.Q2       SubNetwork=ONRM_ROOT_MO,SubNetwork=ERBS-SUBNW-1,MeContext=ERBSG21017  
