SLAJobId|TwampSessionId|Context|Interval|srcIpAddress|dstIpAddress|padding|dscp|srcNodeType|srcNodeFDN|dstNodeType|dstNodeFDN
1|1|local|1000|10.170.81.172|10.170.118.41|0|df|Router6672|SubNetwork=ONRM_ROOT_MO,MeContext=Router6672Node,ManagedElement=1|Router6675|SubNetwork=ONRM_ROOT_MO,MeContext=Router6675Node,ManagedElement=1
2|2|local|1000|10.170.81.172|10.170.118.41|0|df|Router6672|SubNetwork=ONRM_ROOT_MO,MeContext=Router6672Node,ManagedElement=1|Router6x71|SubNetwork=ONRM_ROOT_MO,MeContext=Router6x71Node,ManagedElement=1
3|3|local|1000|10.170.81.172|10.170.118.41|0|df|Router6672|SubNetwork=ONRM_ROOT_MO,MeContext=Router6672Node,ManagedElement=1|Router6274|SubNetwork=ONRM_ROOT_MO,MeContext=Router6274Node,ManagedElement=1
4|4|local|1000|10.170.81.172|10.170.118.41|0|df|Router6672|SubNetwork=ONRM_ROOT_MO,MeContext=Router6672Node,ManagedElement=1|Router6673|SubNetwork=ONRM_ROOT_MO,MeContext=Router6673Node,ManagedElement=1
5|5|local|1000|10.170.81.172|10.170.118.41|0|df|Router6672|SubNetwork=ONRM_ROOT_MO,MeContext=Router6672Node,ManagedElement=1|Router6273|SubNetwork=ONRM_ROOT_MO,MeContext=Router6273Node,ManagedElement=1
6|6|local|1000|10.170.81.172|10.170.118.41|0|df|Router6675|SubNetwork=ONRM_ROOT_MO,MeContext=Router6675Node,ManagedElement=1|Router6672|SubNetwork=ONRM_ROOT_MO,MeContext=Router6672Node,ManagedElement=1
7|7|local|1000|10.170.81.172|10.170.118.41|0|df|Router6675|SubNetwork=ONRM_ROOT_MO,MeContext=Router6675Node,ManagedElement=1|Router6x71|SubNetwork=ONRM_ROOT_MO,MeContext=Router6x71Node,ManagedElement=1
8|8|local|1000|10.170.81.172|10.170.118.41|0|df|Router6675|SubNetwork=ONRM_ROOT_MO,MeContext=Router6675Node,ManagedElement=1|Router6274|SubNetwork=ONRM_ROOT_MO,MeContext=Router6274Node,ManagedElement=1
9|9|local|1000|10.170.81.172|10.170.118.41|0|df|Router6675|SubNetwork=ONRM_ROOT_MO,MeContext=Router6675Node,ManagedElement=1|Router6673|SubNetwork=ONRM_ROOT_MO,MeContext=Router6673Node,ManagedElement=1
10|10|local|1000|10.170.81.172|10.170.118.41|0|df|Router6675|SubNetwork=ONRM_ROOT_MO,MeContext=Router6675Node,ManagedElement=1|Router6273|SubNetwork=ONRM_ROOT_MO,MeContext=Router6273Node,ManagedElement=1
11|11|local|1000|10.170.81.172|10.170.118.41|0|df|Router6x71|SubNetwork=ONRM_ROOT_MO,MeContext=Router6x71Node,ManagedElement=1|Router6672|SubNetwork=ONRM_ROOT_MO,MeContext=Router6672Node,ManagedElement=1
12|12|local|1000|10.170.81.172|10.170.118.41|0|df|Router6x71|SubNetwork=ONRM_ROOT_MO,MeContext=Router6x71Node,ManagedElement=1|Router6675|SubNetwork=ONRM_ROOT_MO,MeContext=Router6675Node,ManagedElement=1
13|13|local|1000|10.170.81.172|10.170.118.41|0|df|Router6x71|SubNetwork=ONRM_ROOT_MO,MeContext=Router6x71Node,ManagedElement=1|Router6274|SubNetwork=ONRM_ROOT_MO,MeContext=Router6274Node,ManagedElement=1
14|14|local|1000|10.170.81.172|10.170.118.41|0|df|Router6x71|SubNetwork=ONRM_ROOT_MO,MeContext=Router6x71Node,ManagedElement=1|Router6673|SubNetwork=ONRM_ROOT_MO,MeContext=Router6673Node,ManagedElement=1
15|15|local|1000|10.170.81.172|10.170.118.41|0|df|Router6x71|SubNetwork=ONRM_ROOT_MO,MeContext=Router6x71Node,ManagedElement=1|Router6273|SubNetwork=ONRM_ROOT_MO,MeContext=Router6273Node,ManagedElement=1
16|16|local|1000|10.170.81.172|10.170.118.41|0|df|Router6274|SubNetwork=ONRM_ROOT_MO,MeContext=Router6274Node,ManagedElement=1|Router6672|SubNetwork=ONRM_ROOT_MO,MeContext=Router6672Node,ManagedElement=1
17|17|local|1000|10.170.81.172|10.170.118.41|0|df|Router6274|SubNetwork=ONRM_ROOT_MO,MeContext=Router6274Node,ManagedElement=1|Router6675|SubNetwork=ONRM_ROOT_MO,MeContext=Router6675Node,ManagedElement=1
18|18|local|1000|10.170.81.172|10.170.118.41|0|df|Router6274|SubNetwork=ONRM_ROOT_MO,MeContext=Router6274Node,ManagedElement=1|Router6x71|SubNetwork=ONRM_ROOT_MO,MeContext=Router6x71Node,ManagedElement=1
19|19|local|1000|10.170.81.172|10.170.118.41|0|df|Router6274|SubNetwork=ONRM_ROOT_MO,MeContext=Router6274Node,ManagedElement=1|Router6673|SubNetwork=ONRM_ROOT_MO,MeContext=Router6673Node,ManagedElement=1
20|20|local|1000|10.170.81.172|10.170.118.41|0|df|Router6274|SubNetwork=ONRM_ROOT_MO,MeContext=Router6274Node,ManagedElement=1|Router6273|SubNetwork=ONRM_ROOT_MO,MeContext=Router6273Node,ManagedElement=1
21|21|local|1000|10.170.81.172|10.170.118.41|0|df|Router6673|SubNetwork=ONRM_ROOT_MO,MeContext=Router6673Node,ManagedElement=1|Router6672|SubNetwork=ONRM_ROOT_MO,MeContext=Router6672Node,ManagedElement=1
22|22|local|1000|10.170.81.172|10.170.118.41|0|df|Router6673|SubNetwork=ONRM_ROOT_MO,MeContext=Router6673Node,ManagedElement=1|Router6675|SubNetwork=ONRM_ROOT_MO,MeContext=Router6675Node,ManagedElement=1
23|23|local|1000|10.170.81.172|10.170.118.41|0|df|Router6673|SubNetwork=ONRM_ROOT_MO,MeContext=Router6673Node,ManagedElement=1|Router6x71|SubNetwork=ONRM_ROOT_MO,MeContext=Router6x71Node,ManagedElement=1
24|24|local|1000|10.170.81.172|10.170.118.41|0|df|Router6673|SubNetwork=ONRM_ROOT_MO,MeContext=Router6673Node,ManagedElement=1|Router6274|SubNetwork=ONRM_ROOT_MO,MeContext=Router6274Node,ManagedElement=1
